sep=;
Time;cpu/usage_rate.sum;memory/usage.mean
2019-08-05T09:55:47.000Z;null;null
2019-08-05T09:55:48.000Z;null;null
2019-08-05T09:55:49.000Z;null;null
2019-08-05T09:55:50.000Z;null;null
2019-08-05T09:55:51.000Z;null;null
2019-08-05T09:55:52.000Z;null;null
2019-08-05T09:55:53.000Z;null;null
2019-08-05T09:55:54.000Z;null;null
2019-08-05T09:55:55.000Z;null;null
2019-08-05T09:55:56.000Z;null;null
2019-08-05T09:55:57.000Z;null;null
2019-08-05T09:55:58.000Z;null;null
2019-08-05T09:55:59.000Z;null;null
2019-08-05T09:56:00.000Z;51;58531254.85714286
2019-08-05T09:56:01.000Z;null;null
2019-08-05T09:56:02.000Z;null;null
2019-08-05T09:56:03.000Z;null;null
2019-08-05T09:56:04.000Z;null;null
2019-08-05T09:56:05.000Z;null;null
2019-08-05T09:56:06.000Z;null;null
2019-08-05T09:56:07.000Z;null;null
2019-08-05T09:56:08.000Z;null;null
2019-08-05T09:56:09.000Z;null;null
2019-08-05T09:56:10.000Z;null;null
2019-08-05T09:56:11.000Z;null;null
2019-08-05T09:56:12.000Z;null;null
2019-08-05T09:56:13.000Z;null;null
2019-08-05T09:56:14.000Z;null;null
2019-08-05T09:56:15.000Z;36;58531254.85714286
2019-08-05T09:56:16.000Z;null;null
2019-08-05T09:56:17.000Z;null;null
2019-08-05T09:56:18.000Z;null;null
2019-08-05T09:56:19.000Z;null;null
2019-08-05T09:56:20.000Z;null;null
2019-08-05T09:56:21.000Z;null;null
2019-08-05T09:56:22.000Z;null;null
2019-08-05T09:56:23.000Z;null;null
2019-08-05T09:56:24.000Z;null;null
2019-08-05T09:56:25.000Z;null;null
2019-08-05T09:56:26.000Z;null;null
2019-08-05T09:56:27.000Z;null;null
2019-08-05T09:56:28.000Z;null;null
2019-08-05T09:56:29.000Z;null;null
2019-08-05T09:56:30.000Z;135;58536521.14285714
2019-08-05T09:56:31.000Z;null;null
2019-08-05T09:56:32.000Z;null;null
2019-08-05T09:56:33.000Z;null;null
2019-08-05T09:56:34.000Z;null;null
2019-08-05T09:56:35.000Z;null;null
2019-08-05T09:56:36.000Z;null;null
2019-08-05T09:56:37.000Z;null;null
2019-08-05T09:56:38.000Z;null;null
2019-08-05T09:56:39.000Z;null;null
2019-08-05T09:56:40.000Z;null;null
2019-08-05T09:56:41.000Z;null;null
2019-08-05T09:56:42.000Z;null;null
2019-08-05T09:56:43.000Z;null;null
2019-08-05T09:56:44.000Z;null;null
2019-08-05T09:56:45.000Z;48;58583917.71428572
2019-08-05T09:56:46.000Z;null;null
2019-08-05T09:56:47.000Z;null;null
2019-08-05T09:56:48.000Z;null;null
2019-08-05T09:56:49.000Z;null;null
2019-08-05T09:56:50.000Z;null;null
2019-08-05T09:56:51.000Z;null;null
2019-08-05T09:56:52.000Z;null;null
2019-08-05T09:56:53.000Z;null;null
2019-08-05T09:56:54.000Z;null;null
2019-08-05T09:56:55.000Z;null;null
2019-08-05T09:56:56.000Z;null;null
2019-08-05T09:56:57.000Z;null;null
2019-08-05T09:56:58.000Z;null;null
2019-08-05T09:56:59.000Z;null;null
2019-08-05T09:57:00.000Z;48;58427684.571428575
2019-08-05T09:57:01.000Z;null;null
2019-08-05T09:57:02.000Z;null;null
2019-08-05T09:57:03.000Z;null;null
2019-08-05T09:57:04.000Z;null;null
2019-08-05T09:57:05.000Z;null;null
2019-08-05T09:57:06.000Z;null;null
2019-08-05T09:57:07.000Z;null;null
2019-08-05T09:57:08.000Z;null;null
2019-08-05T09:57:09.000Z;null;null
2019-08-05T09:57:10.000Z;null;null
2019-08-05T09:57:11.000Z;null;null
2019-08-05T09:57:12.000Z;null;null
2019-08-05T09:57:13.000Z;null;null
2019-08-05T09:57:14.000Z;null;null
2019-08-05T09:57:15.000Z;51;58427684.571428575
2019-08-05T09:57:16.000Z;null;null
